order_id,order_date,amount,product_id
1066,2023-08-14,487.85,P004
1067,2023-11-27,226.89,P011
1068,2023-05-12,451.42,P006
1069,2023-06-27,334.01,P001
1070,2023-08-30,407.67,P009
1071,2023-01-31,276.19,P001
1072,2023-05-29,309.61,P005
1073,2023-09-10,271.63,P004
1074,2023-06-06,137.86,P013
1075,2023-03-16,375.1,P012
1076,2023-06-02,176.35,P013
1077,2023-01-22,60.94,P013
1078,2023-02-18,340.46,P014
1079,2023-05-07,129.7,P003
1080,2023-11-08,473.21,P013
1081,2023-09-24,479.27,P006
1082,2023-12-16,461.69,P002
1083,2023-06-13,216.57,P003
1084,2023-08-09,56.96,P005
1085,2023-08-28,467.74,P009
1086,2023-09-16,242.68,P002
1087,2023-09-14,484.99,P010
1088,2023-01-04,483.63,P008
1089,2023-02-11,433.85,P014
1090,2023-11-12,182.5,P002
1091,2023-03-26,223.29,P011
1092,2023-08-09,433.01,P013
1093,2023-04-10,192.61,P005
1094,2023-08-13,126.27,P007
1095,2023-07-28,300.56,P008
1096,2023-08-26,471.27,P001
1097,2023-07-26,363.21,P006
1098,2023-02-05,306.53,P001
1099,2023-11-06,93.73,P002
1100,2023-05-08,326.75,P001
1101,2023-01-07,495.52,P011
1102,2023-02-03,113.04,P005
1103,2023-09-16,283.25,P010
1104,2023-11-03,444.82,P009
1105,2023-01-12,383.35,P006
1106,2023-09-07,363.66,P011
1107,2023-02-08,366.12,P011
1108,2023-10-19,211.77,P001
1109,2023-09-13,182.12,P013
1110,2023-10-12,414.21,P001
1111,2023-02-01,414.55,P002
1112,2023-01-31,440.18,P009
1113,2023-02-10,460.96,P003
1114,2023-09-16,280.1,P001
1115,2023-08-03,275.68,P005
1116,2023-09-30,409.23,P007
1117,2023-06-30,342.48,P006
1118,2023-05-08,365.89,P012
1119,2023-01-15,408.11,P001
1120,2023-12-25,450.5,P005
1121,2023-09-22,202.1,P005
1122,2023-03-01,219.01,P006
1123,2023-07-30,92.29,P003
1124,2023-01-01,310.23,P005
1125,2023-05-05,66.17,P007
1126,2023-03-17,259.52,P005
1127,2023-11-26,294.19,P005
1128,2023-07-31,178.94,P005
1129,2023-06-19,315.87,P010
1130,2023-08-09,63.73,P010
1131,2023-10-02,66.81,P003
1132,2023-11-08,420.17,P001
1133,2023-05-28,212.09,P005
1134,2023-06-25,107.18,P014
1135,2023-07-05,285.01,P009
1136,2023-01-21,396.5,P014
1137,2023-05-02,147.12,P001
1138,2023-02-25,330.3,P003
1139,2023-10-08,88.41,P013
1140,2023-08-07,73.26,P013
1141,2023-07-05,289.11,P004
1142,2023-08-09,293.29,P014
1143,2023-12-10,336.84,P001
1144,2023-05-12,376.74,P001
1145,2023-11-19,489.13,P008
1146,2023-02-14,282.34,P002
1147,2023-07-05,195.33,P012
1148,2023-11-09,407.83,P008
1149,2023-10-31,171.87,P007
1150,2023-07-25,247.54,P010
1151,2023-05-18,85.31,P010
1152,2023-03-24,61.41,P002
1153,2023-02-22,483.19,P006
1154,2023-06-30,426.19,P006
1155,2023-11-09,363.19,P003
1156,2023-08-26,234.03,P011
1157,2023-08-31,127.98,P002
1158,2023-04-03,120.4,P012
1159,2023-06-01,162.61,P001
1160,2023-09-24,297.15,P006
1161,2023-08-24,371.57,P012
1162,2023-03-05,347.09,P005
1163,2023-08-07,175.97,P014
1164,2023-11-22,479.69,P014
1165,2023-06-22,382.05,P011
1166,2023-01-06,299.46,P009
1167,2023-04-30,325.27,P001
1168,2023-05-28,238.82,P007
1169,2023-04-25,161.48,P005
1170,2023-09-14,210.19,P005
1171,2023-05-28,391.03,P014
1172,2023-05-29,56.48,P002
1173,2023-11-24,102.23,P011
1174,2023-03-22,70.7,P003
1175,2023-09-23,68.33,P007
1176,2023-10-29,434.96,P006
1177,2023-03-21,366.65,P012
1178,2023-03-10,263.38,P002
1179,2023-12-20,94.03,P006
1180,2023-10-09,271.23,P002
1181,2023-03-17,263.06,P002
1182,2023-04-09,127.94,P002
1183,2023-04-02,245.23,P014
1184,2023-11-11,229.33,P011
1185,2023-11-15,327.13,P003
1186,2023-01-09,335.79,P002
1187,2023-09-13,70.39,P004
1188,2023-06-28,218.58,P009
1189,2023-11-26,331.64,P006
1190,2023-04-03,276.41,P001
1191,2023-02-08,435.42,P008
1192,2023-02-07,346.41,P012
1193,2023-01-11,123.32,P014
1194,2023-03-07,81.76,P007
1195,2023-11-21,339.09,P010
1196,2023-12-20,61.93,P003
1197,2023-05-22,313.6,P001
1198,2023-07-25,473.1,P005
1199,2023-02-08,308.96,P013
1200,2023-10-03,224.68,P004
1201,2023-04-22,339.48,P010
1202,2023-09-24,256.21,P008
1203,2023-11-28,295.53,P001
1204,2023-09-12,473.66,P010
1205,2023-02-04,223.75,P001
1206,2023-12-29,482.54,P012
1207,2023-09-05,457.41,P004
1208,2023-09-29,138.11,P008
1209,2023-01-01,81.21,P005
1210,2023-12-23,95.35,P002
1211,2023-06-20,58.2,P006
1212,2023-11-23,92.5,P005
1213,2023-01-30,357.35,P002
1214,2023-07-15,82.03,P013
1215,2023-08-01,193.54,P014
1216,2023-06-19,430.19,P011
1217,2023-12-04,60.47,P011
1218,2023-12-09,416.51,P011
1219,2023-05-02,176.83,P003
1220,2023-04-07,103.17,P009
1221,2023-01-24,363.53,P007
1222,2023-01-14,333.02,P007
1223,2023-07-20,444.86,P011
1224,2023-05-17,380.78,P006
1225,2023-09-01,411.57,P008
1226,2023-09-29,176.92,P004
1227,2023-08-24,129.85,P008
1228,2023-10-01,387.78,P004
1229,2023-01-29,413.08,P008
1230,2023-02-03,495.73,P009
1231,2023-11-20,235.68,P003
1232,2023-03-10,217.41,P003
1233,2023-12-18,399.39,P011
1234,2023-09-18,203.36,P013
1235,2023-01-26,468.84,P002
1236,2023-10-02,436.29,P013
1237,2023-02-20,243.05,P010
1238,2023-03-09,387.89,P003
1239,2023-01-05,389.54,P003
1240,2023-12-12,96.41,P005
1241,2023-01-30,456.15,P005
1242,2023-05-26,277.36,P002
1243,2023-05-22,421.91,P012
1244,2023-06-16,194.02,P010
1245,2023-01-23,452.99,P013
1246,2023-06-16,225.14,P006
1247,2023-09-03,54.88,P005
1248,2023-05-14,457.42,P006
1249,2023-07-08,91.08,P001
1250,2023-03-25,193.69,P005
1251,2023-04-07,477.53,P009
1252,2023-09-26,477.77,P012
1253,2023-07-30,308.05,P010
1254,2023-05-24,334.33,P014
1255,2023-01-01,251.8,P002
1256,2023-06-07,181.94,P001
1257,2023-06-19,197.9,P014
1258,2023-09-26,352.63,P010
1259,2023-07-31,388.57,P013
1260,2023-04-29,406.21,P011
1261,2023-05-31,405.33,P009
1262,2023-07-14,91.04,P010
1263,2023-03-17,272.49,P009
1264,2023-08-22,75.9,P009
1265,2023-03-30,297.29,P006
1266,2023-02-19,248.69,P008
1267,2023-09-09,449.47,P014
1268,2023-03-08,207.91,P011
1269,2023-07-19,102.68,P013
1270,2023-06-28,114.35,P001
1271,2023-10-04,392.68,P010
1272,2023-10-08,328.2,P004
1273,2023-02-27,95.51,P001
1274,2023-01-10,87.85,P008
1275,2023-01-03,365.44,P001
1276,2023-05-14,82.74,P003
1277,2023-08-26,419.84,P013
1278,2023-08-17,367.81,P004
1279,2023-03-31,86.61,P008
1280,2023-09-16,88.18,P006
1281,2023-03-07,493.99,P014
1282,2023-04-11,218.42,P010
1283,2023-03-18,216.79,P012
1284,2023-09-15,415.76,P007
1285,2023-02-20,476.26,P014
1286,2023-08-01,493.7,P008
1287,2023-09-10,389.02,P002
1288,2023-05-03,219.32,P013
1289,2023-03-05,87.58,P010
1290,2023-10-27,399.72,P014
1291,2023-12-03,301.28,P011
1292,2023-01-13,240.9,P008
1293,2023-05-16,457.86,P003
1294,2023-07-09,100.04,P007
1295,2023-05-03,271.68,P003
1296,2023-06-12,55.11,P007
1297,2023-03-24,260.9,P014
1298,2023-11-08,75.34,P011
1299,2023-01-30,103.47,P012
1300,2023-03-19,102.89,P013
